loan_seq_number,credit_score,first_payment_date,first_time_homebuyer_flag,maturity_date,msa,mortgage_insurance_percentage,number_of_units,occupancy_status,original_combined_ltv,original_dti_ratio,original_upb,original_ltv,original_interest_rate,channel,prepayment_penalty_flag,product_type,property_state,property_type,postal_code,loan_purpose,original_loan_term,number_of_borrowers,seller_name,servicer_name
F103Q3634535,746,1/1/2005,N,2/1/2034,11020,0,1,O,75,49,117000,75,5.845,R,N,FIX30,PA,SF,16600,N,350,2,Other sellers,Other servicers
F103Q3634536,684,2/1/2005,N,10/1/2033,39300,0,1,O,63,49,199000,63,5.81,R,N,FIX30,RI,SF,2900,N,345,1,Other sellers,Other servicers
F103Q3635173,705,1/1/2005,N,12/1/2034,19660,0,1,O,54,58,180000,54,5.875,R,N,FIX30,FL,PU,32100,P,360,2,Other sellers,Other servicers
F103Q3635344,590,1/1/2005,N,10/1/2034,,12,1,O,84,48,212000,84,6.375,R,N,FIX30,NC,SF,28300,P,358,1,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F103Q3635349,751,1/1/2005,N,10/1/2033,19660,0,1,O,76,33,283000,76,5.875,R,N,FIX30,FL,SF,32700,P,346,2,Other sellers,"WELLSFARGOBANK,NA"
F103Q3635350,775,1/1/2005,N,9/1/2034,,0,1,O,16,13,44000,16,5.875,R,N,FIX30,WI,SF,53400,N,357,2,Other sellers,Other servicers
F103Q3635441,756,1/1/2005,N,9/1/2034,,12,1,O,85,32,250000,85,6,R,N,FIX30,GA,SF,31300,P,357,2,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F103Q3635445,745,1/1/2005,N,10/1/2034,,12,1,O,85,18,130000,85,5.875,R,N,FIX30,NC,SF,27900,P,358,2,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F103Q3635447,763,1/1/2005,N,12/1/2034,15980,25,1,O,86,46,177000,86,5.875,R,N,FIX30,FL,SF,33900,P,360,1,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F103Q3635451,703,1/1/2005,N,10/1/2034,48900,0,1,O,80,45,184000,80,5.625,R,N,FIX30,NC,PU,28400,P,358,1,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F103Q3635452,733,2/1/2005,N,1/1/2035,22380,0,1,O,76,30,258000,76,5.875,R,N,FIX30,AZ,SF,86000,N,360,2,Other sellers,Other servicers
F103Q3635454,784,1/1/2005,N,9/1/2034,,0,1,S,78,21,140000,78,6,R,N,FIX30,NC,PU,28500,P,357,1,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F103Q3635457,745,1/1/2005,N,12/1/2034,24340,0,1,O,79,32,194000,79,6,R,N,FIX30,MI,SF,49300,N,360,2,Other sellers,Other servicers
F103Q3635460,754,1/1/2005,N,10/1/2033,31540,0,1,O,78,37,134000,78,5.75,T,N,FIX30,WI,SF,53900,C,346,2,Other sellers,Other servicers
F103Q3635500,704,1/1/2005,N,9/1/2033,38940,17,1,O,90,58,177000,90,6.25,T,N,FIX30,FL,SF,34900,P,345,2,CHASEMANHATTANMTGECO,CHASEHOMEFINANCELLC
F103Q3635501,725,1/1/2005,N,9/1/2033,38060,0,1,O,80,23,289000,80,5.875,T,N,FIX30,AZ,SF,85300,P,345,2,Other sellers,Other servicers
F103Q3635503,695,1/1/2005,N,9/1/2034,22180,25,1,O,90,43,202000,90,5.875,R,N,FIX30,NC,SF,28300,P,357,2,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F103Q3635504,745,1/1/2005,N,10/1/2034,11700,30,1,S,95,18,235000,95,5.875,R,N,FIX30,NC,SF,28700,P,358,2,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F103Q3635533,721,1/1/2005,Y,12/1/2034,47260,17,1,O,90,40,234000,90,6.125,R,N,FIX30,VA,SF,23600,P,360,2,WELLSFARGOHOMEMORTGA,"WELLSFARGOBANK,NA"
F103Q3635536,616,1/1/2005,,12/1/2034,31084,0,1,O,80.56604,34,212000,80,6.375,R,N,FIX30,CA,SF,93500,N,360,2,WELLSFARGOHOMEMORTGA,"WELLSFARGOBANK,NA"
F103Q3635539,745,1/1/2005,N,12/1/2034,34900,0,1,O,79,54,297000,79,6.125,R,N,FIX30,CA,SF,94500,N,360,2,Other sellers,CHASEHOMEFINANCELLC
F103Q3635593,713,3/1/2005,N,2/1/2035,38300,25,1,O,90,41,244000,90,6.125,T,N,FIX30,PA,SF,15100,N,360,2,Other sellers,Other servicers
F103Q3635594,731,2/1/2005,N,9/1/2034,,0,1,O,79,27,127000,79,5.75,R,N,FIX30,VA,SF,23500,P,356,2,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F103Q3635595,789,1/1/2005,N,9/1/2034,,0,1,O,19,9,63000,19,5.75,R,N,FIX30,NC,SF,28700,P,357,2,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F103Q3635596,789,2/1/2005,N,8/1/2034,,0,1,O,76,55,288000,76,5.75,R,N,FIX30,VA,SF,20100,P,355,2,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F103Q3635597,758,1/1/2005,N,12/1/2034,45300,0,1,O,75,36,290000,75,5.75,R,N,FIX30,FL,PU,34600,P,360,2,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F103Q3635599,678,2/1/2005,Y,1/1/2035,,0,1,O,77,19,125000,77,5.875,R,N,FIX30,NC,SF,27900,P,360,1,Other sellers,Other servicers
F103Q3635603,634,2/1/2005,N,10/1/2034,,0,1,O,80,23,109000,80,5.875,R,N,FIX30,NC,SF,27200,P,357,2,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F103Q3635605,756,4/1/2005,N,10/1/2033,49340,0,1,O,39,54,185000,39,5.88,R,N,FIX30,MA,SF,1700,N,343,1,Other sellers,Other servicers
F103Q3635610,802,1/1/2005,N,12/1/2034,15980,0,1,O,66,,182000,66,5.875,R,N,FIX30,FL,SF,33900,P,360,2,Other sellers,NATLCITYMTGECO
F103Q3635616,796,1/1/2005,,12/1/2034,23420,0,1,O,61.5527,26,166000,61,5.875,R,N,FIX30,CA,SF,93600,N,360,1,WELLSFARGOHOMEMORTGA,"WELLSFARGOBANK,NA"
F103Q3635617,680,1/1/2005,,12/1/2034,12580,0,1,O,85,38,248000,80,5.875,R,N,FIX30,MD,SF,21000,C,360,2,WELLSFARGOHOMEMORTGA,"WELLSFARGOBANK,NA"
F103Q3635618,717,1/1/2005,,12/1/2034,45300,0,1,O,76.47649,35,239000,76,5.875,R,N,FIX30,FL,SF,33500,N,360,2,WELLSFARGOHOMEMORTGA,"WELLSFARGOBANK,NA"
F103Q3635699,691,1/1/2005,N,12/1/2034,29620,0,1,O,68,43,90000,68,5.5,R,N,FIX30,MI,SF,48800,P,360,1,Other sellers,"CITIMORTGAGE,INC"
F103Q3635700,737,1/1/2005,N,12/1/2034,40484,0,1,O,24,59,100000,24,6.25,T,N,FIX30,NH,SF,3000,N,360,1,Other sellers,"JPMORGANCHASEBANK,NA"
F103Q3635702,770,2/1/2005,N,11/1/2033,46540,0,1,O,41,23,98000,41,6,R,N,FIX30,NY,SF,13400,N,346,1,Other sellers,Other servicers
F103Q3635703,616,2/1/2005,N,1/1/2035,44140,0,1,O,72,44,250000,72,6.125,R,N,FIX30,MA,SF,1000,N,360,2,Other sellers,Other servicers
F103Q3635704,786,3/1/2005,N,2/1/2035,21660,0,1,O,80,42,322000,80,5.875,R,N,FIX30,OR,SF,97400,P,360,2,Other sellers,Other servicers
F103Q3635705,776,4/1/2005,N,3/1/2035,26820,0,1,O,73,52,323000,73,5.75,R,N,FIX30,ID,SF,83400,N,360,2,Other sellers,Other servicers
